|    | Instance                   |    n |   Estimated LB (Mosek) |   Certified LB (Mosek) |   CPU time (Mosek) | mosek_status   |   PBM It. nbr |   PBM avg. it. time |    overhead |   Certified LB (PBM) |   Progress wrt MOSEK estimated LB (%) |   Progress wrt MOSEK certified LB (%) |          MIPS UB |   Reduction of certified gap (%) |   Reduction of estimated gap (%) |
|  4 | pglib_opf_case179_goc      |  179 |       752635           |       752635           |          2.76308   | optimal        |            20 |          0.379331   |   2.74571   |     752635           |                          -2.0896e-06  |                           0           |    nan           |                    nan           |                       nan        |
|  8 | pglib_opf_case200_activ    |  200 |        27557.6         |        27557.6         |          3.37759   | optimal        |             4 |          0.189543   |   0.224472  |      27557.6         |                          -1.18158e-06 |                           0           |  27557.6         |                      0           |                       526.134    |
| 11 | pglib_opf_case240_pserc    |  240 |            3.27281e+06 |            3.2728e+06  |          5.55857   | unknown        |            37 |          0.9182     |   6.11189   |          3.2728e+06  |                          -0.000158344 |                          -1.42282e-14 |      3.29862e+06 |                      0           |                         0        |
| 22 | pglib_opf_case300_ieee     |  300 |       559238           |        50244           |          6.5533    | unknown        |           407 |          1.45302    |  90.2412    |     559222           |                          -0.00277388  |                        1013.01        | 559798           |                     99.8869      |                         0        |
| 35 | pglib_opf_case500_goc      |  500 |       454512           |       454512           |         11.8728    | optimal        |             3 |          0.59095    |   0.14932   |     454512           |                          -2.59731e-06 |                           1.28066e-14 | 454512           |                      3.95082e-07 |                         0        |
| 37 | pglib_opf_case588_sdet     |  588 |       310611           |       310518           |         10.942     | unknown        |           296 |          7.51939    | 203.413     |     310726           |                           0.0370309   |                           0.0668778   | 311836           |                     15.7531      |                         9.38479  |
| 44 | pglib_opf_case793_goc      |  793 |       257710           |       257705           |         15.811     | unknown        |           203 |          2.23167    |  28.6528    |     257712           |                           0.00103032  |                           0.00287486  | 258413           |                      1.04633     |                         0.377535 |
|  1 | pglib_opf_case1354_pegase  | 1354 |            1.23135e+06 |            1.23066e+06 |         35.8854    | unknown        |           500 |          1.50371    |  20.9515    |          1.23738e+06 |                           0.490057    |                           0.545905    |      1.2425e+06  |                     56.7848      |                        54.1333   |
|  5 | pglib_opf_case1888_rte     | 1888 |            1.37253e+06 |            1.37087e+06 |         55.7458    | unknown        |           328 |         56.1329     | 330.278     |          1.37296e+06 |                           0.0312351   |                           0.152581    |    nan           |                    nan           |                       nan        |
|  6 | pglib_opf_case1951_rte     | 1951 |            2.08388e+06 |            2.08152e+06 |         56.6099    | unknown        |           168 |         13.7313     |  40.75      |          2.08489e+06 |                           0.0485878   |                           0.161726    |    nan           |                    nan           |                       nan        |
|  7 | pglib_opf_case2000_goc     | 2000 |       972929           |       972904           |        119.682     | unknown        |            96 |         12.1972     |   9.78374   |     972956           |                           0.00277705  |                           0.00526888  | 973324           |                     12.2112      |                         6.83072  |
|  9 | pglib_opf_case2312_goc     | 2312 |       435665           |       435582           |        363.165     | unknown        |           381 |          2.29742    |   2.41025   |     435683           |                           0.00425409  |                           0.0232742   | 438452           |                      3.53218     |                         0.66493  |
| 10 | pglib_opf_case2383wp_k     | 2383 |            1.8623e+06  |            1.86129e+06 |        222.07      | unknown        |           500 |          3.61642    |   8.14251   |          1.8629e+06  |                           0.0321381   |                           0.0864798   |      1.8636e+06  |                     69.761       |                        46.1729   |
| 13 | pglib_opf_case2736sp_k     | 2736 |            1.3038e+06  |            1.29815e+06 |        236.887     | unknown        |           500 |          2.20442    |   4.6529    |          1.30739e+06 |                           0.275108    |                           0.711317    |      1.308e+06   |                     93.8081      |                        85.4755   |
| 14 | pglib_opf_case2737sop_k    | 2737 |       775459           |       772214           |        231.831     | unknown        |           500 |          2.54403    |   5.48682   |     777551           |                           0.269682    |                           0.691109    | 777719           |                     96.9445      |                        92.5555   |
